0.001,-0.006,-0.768
-0.001,-0.007,-0.765
0.001,-0.008,-0.773
0.002,-0.006,-0.767
0.001,-0.005,-0.766
0,-0.007,-0.767
0.002,-0.005,-0.765
0.003,-0.003,-0.766
0.001,-0.003,-0.772
0,-0.002,-0.768
-0.001,-0.009,-0.771
0.002,-0.007,-0.767
0,-0.008,-0.763
-0.002,-0.005,-0.775
-0.001,-0.004,-0.766
0.002,-0.002,-0.765
-0.001,-0.004,-0.775
-0.003,-0.008,-0.765
0.002,-0.011,-0.762
0.001,-0.01,-0.772
0.001,-0.006,-0.771
-0.001,-0.003,-0.776
0.001,-0.003,-0.766
0.001,-0.003,-0.768
0.002,-0.011,-0.763
-0.001,-0.011,-0.763
0.001,-0.007,-0.766
0.003,-0.002,-0.766
0.003,-0.002,-0.766
0.003,0,-0.77
0.002,-0.004,-0.765
0.004,-0.005,-0.769
0.002,-0.009,-0.774
0.002,-0.007,-0.764
0.001,-0.004,-0.766
0.003,-0.004,-0.763
0.005,-0.003,-0.763
0.001,-0.001,-0.765
0,-0.003,-0.775
0.002,-0.007,-0.775
0.002,-0.007,-0.768
0.001,-0.005,-0.775
0.003,-0.004,-0.772
0.005,-0.003,-0.77
0.004,0.001,-0.774
0.003,-0.003,-0.767
0.002,-0.008,-0.762
0.004,-0.009,-0.762
0.005,-0.007,-0.758
0.003,-0.009,-0.773
0.001,-0.005,-0.772
0.004,-0.002,-0.768
0.002,-0.002,-0.766
0.002,-0.005,-0.765
0.001,-0.009,-0.77
0.002,-0.009,-0.768
0.003,-0.007,-0.772
0.003,-0.007,-0.768
0.001,-0.005,-0.766
0.002,-0.007,-0.765
0.005,-0.006,-0.763
0.002,-0.005,-0.764
0,-0.009,-0.761
0.001,-0.008,-0.77
0.002,-0.006,-0.767
0.002,-0.005,-0.77
0.001,-0.005,-0.765
-0.001,-0.005,-0.761
0,-0.006,-0.764
0.001,-0.005,-0.772
0.001,-0.007,-0.771
0,-0.009,-0.768
0,-0.009,-0.763
0.001,-0.007,-0.764
-0.001,-0.005,-0.765
-0.001,-0.006,-0.766
0.001,-0.009,-0.769
0.001,-0.006,-0.769
0,-0.008,-0.762
0.001,-0.005,-0.76
0.002,-0.004,-0.766
0.004,-0.003,-0.769
-0.001,-0.005,-0.766
-0.001,-0.007,-0.765
-0.001,-0.01,-0.765
0.002,-0.009,-0.763
0,-0.004,-0.775
0.001,-0.003,-0.77
0.002,-0.003,-0.763
0.005,-0.006,-0.759
0.002,-0.006,-0.76
0.002,-0.007,-0.765
0.002,-0.008,-0.77
0.002,-0.007,-0.771
0.002,-0.005,-0.766
0.003,-0.005,-0.76
0.005,-0.001,-0.765
0.005,-0.005,-0.77
0.002,-0.005,-0.77
0.002,-0.009,-0.768
0.003,-0.008,-0.763
0.003,-0.012,-0.766
